id_proposta,pd,score_1a10,decisao,taxa_am,prazo_meses,pct_entrada_minima
P000186,0.3588237773,1,NEGAR,,,
P000187,0.0451776223,8,APROVAR,0.0240000000,60,0.1500000000
P000188,0.1447533031,4,NEGAR,,,
P000189,0.0370460958,8,APROVAR,0.0240000000,60,0.1500000000
P000190,0.0573270808,7,APROVAR,0.0250000000,60,0.1500000000
P000191,0.2234489315,2,NEGAR,,,
P000192,0.0621158356,6,APROVAR,0.0260000000,48,0.2000000000
P000193,0.0935531855,5,NEGAR,,,
P000194,0.0269287558,9,APROVAR,0.0230000000,60,0.1000000000
P000195,0.2327689932,2,NEGAR,,,
P000196,0.0638156253,6,APROVAR,0.0260000000,48,0.2000000000
P000197,0.1379503124,4,NEGAR,,,
P000198,0.1229398198,4,NEGAR,,,
P000199,0.0337887759,9,APROVAR,0.0230000000,60,0.1000000000
P000200,0.0649700303,6,APROVAR,0.0260000000,48,0.2000000000
P000201,0.0480885418,8,APROVAR,0.0240000000,60,0.1500000000
P000202,0.2174397025,3,NEGAR,,,
P000203,0.1828251810,3,NEGAR,,,
P000204,0.3075540420,2,NEGAR,,,
P000205,0.2513079680,2,NEGAR,,,
P000206,0.1875533160,3,NEGAR,,,
P000207,0.0547175432,7,APROVAR,0.0250000000,60,0.1500000000
P000208,0.3279445824,2,NEGAR,,,
P000209,0.0932215165,5,NEGAR,,,
P000210,0.0983931979,5,NEGAR,,,
P000211,0.2383527174,2,NEGAR,,,
P000212,0.0554184545,7,APROVAR,0.0250000000,60,0.1500000000
P000213,0.4121486952,1,NEGAR,,,
P000214,0.1177628009,4,NEGAR,,,
P000215,0.0700834023,6,APROVAR,0.0260000000,48,0.2000000000
P000216,0.0368187987,8,APROVAR,0.0240000000,60,0.1500000000
P000217,0.0903701217,5,NEGAR,,,
P000218,0.3446009820,2,NEGAR,,,
P000219,0.1973763129,3,NEGAR,,,
P000220,0.2295474838,2,NEGAR,,,
P000221,0.2410760882,2,NEGAR,,,
P000222,0.0721916377,6,APROVAR,0.0260000000,48,0.2000000000
P000223,0.1971345039,3,NEGAR,,,
P000224,0.2238888966,2,NEGAR,,,
P000225,0.1694815369,3,NEGAR,,,
P000226,0.1576093009,3,NEGAR,,,
P000227,0.2304430704,2,NEGAR,,,
P000228,0.0612505746,6,APROVAR,0.0260000000,48,0.2000000000
P000229,0.0345186055,9,APROVAR,0.0230000000,60,0.1000000000
P000230,0.0330999158,9,APROVAR,0.0230000000,60,0.1000000000
P000231,0.0279267153,9,APROVAR,0.0230000000,60,0.1000000000
P000232,0.3550466021,1,NEGAR,,,
P000233,0.0427658379,8,APROVAR,0.0240000000,60,0.1500000000
P000234,0.0226126948,9,APROVAR,0.0230000000,60,0.1000000000
P000235,0.1955499309,3,NEGAR,,,
P000236,0.4209901139,1,NEGAR,,,
P000237,0.3901779422,1,NEGAR,,,
P000238,0.2517250616,2,NEGAR,,,
P000239,0.2825777929,2,NEGAR,,,
P000240,0.0681042780,6,APROVAR,0.0260000000,48,0.2000000000
P000241,0.0462451963,8,APROVAR,0.0240000000,60,0.1500000000
P000242,0.1679805032,3,NEGAR,,,
P000243,0.0898073971,5,NEGAR,,,
P000244,0.0527203945,7,APROVAR,0.0250000000,60,0.1500000000
P000245,0.1565224613,3,NEGAR,,,
P000246,0.0430123100,8,APROVAR,0.0240000000,60,0.1500000000
P000247,0.0369004565,8,APROVAR,0.0240000000,60,0.1500000000
P000248,0.0321846437,9,APROVAR,0.0230000000,60,0.1000000000
P000249,0.0527475520,7,APROVAR,0.0250000000,60,0.1500000000
P000250,0.3167653688,2,NEGAR,,,
P000251,0.1433821226,4,NEGAR,,,
P000252,0.0520394333,7,APROVAR,0.0250000000,60,0.1500000000
P000253,0.0392686172,8,APROVAR,0.0240000000,60,0.1500000000
P000254,0.0879778869,5,NEGAR,,,
P000255,0.1083767357,4,NEGAR,,,
P000256,0.2736084420,2,NEGAR,,,
P000257,0.0497862466,8,APROVAR,0.0240000000,60,0.1500000000
P000258,0.0428977180,8,APROVAR,0.0240000000,60,0.1500000000
P000259,0.2161486413,3,NEGAR,,,
P000260,0.1170832857,4,NEGAR,,,
P000261,0.1451154872,4,NEGAR,,,
P000262,0.0822332355,5,NEGAR,,,
P000263,0.2474178149,2,NEGAR,,,
P000264,0.0521223601,7,APROVAR,0.0250000000,60,0.1500000000
P000265,0.1506420840,3,NEGAR,,,
P000266,0.0391799930,8,APROVAR,0.0240000000,60,0.1500000000
P000267,0.0489971632,8,APROVAR,0.0240000000,60,0.1500000000
P000268,0.0309321985,9,APROVAR,0.0230000000,60,0.1000000000
P000269,0.1049369640,4,NEGAR,,,
P000270,0.0510077727,7,APROVAR,0.0250000000,60,0.1500000000
P000271,0.0218992024,9,APROVAR,0.0230000000,60,0.1000000000
P000272,0.2749767131,2,NEGAR,,,
P000273,0.0641123594,6,APROVAR,0.0260000000,48,0.2000000000
P000274,0.3688300047,1,NEGAR,,,
P000275,0.1641831217,3,NEGAR,,,
P000276,0.0488227509,8,APROVAR,0.0240000000,60,0.1500000000
P000277,0.0288403663,9,APROVAR,0.0230000000,60,0.1000000000
P000278,0.0921253015,5,NEGAR,,,
P000279,0.0488322889,8,APROVAR,0.0240000000,60,0.1500000000
P000280,0.3061670189,2,NEGAR,,,
P000281,0.2925449190,2,NEGAR,,,
P000282,0.3280125075,2,NEGAR,,,
P000283,0.0411738093,8,APROVAR,0.0240000000,60,0.1500000000
P000284,0.0520847650,7,APROVAR,0.0250000000,60,0.1500000000
P000285,0.1435730720,4,NEGAR,,,
P000286,0.0510023145,7,APROVAR,0.0250000000,60,0.1500000000
P000287,0.3480758544,2,NEGAR,,,
P000288,0.3160778074,2,NEGAR,,,
P000289,0.0385947117,8,APROVAR,0.0240000000,60,0.1500000000
P000290,0.0240835273,9,APROVAR,0.0230000000,60,0.1000000000
P000291,0.2387279775,2,NEGAR,,,
P000292,0.0504222010,7,APROVAR,0.0250000000,60,0.1500000000
P000293,0.0656396079,6,APROVAR,0.0260000000,48,0.2000000000
P000294,0.0623135847,6,APROVAR,0.0260000000,48,0.2000000000
P000295,0.0263160856,9,APROVAR,0.0230000000,60,0.1000000000
P000296,0.0830561782,5,NEGAR,,,
P000297,0.1861479573,3,NEGAR,,,
P000298,0.2398660495,2,NEGAR,,,
P000299,0.1905338623,3,NEGAR,,,
P000300,0.2963498322,2,NEGAR,,,
P000301,0.0412899996,8,APROVAR,0.0240000000,60,0.1500000000
P000302,0.0612918130,6,APROVAR,0.0260000000,48,0.2000000000
P000303,0.2414576216,2,NEGAR,,,
P000304,0.0345740484,9,APROVAR,0.0230000000,60,0.1000000000
P000305,0.1876251411,3,NEGAR,,,
P000306,0.0297133564,9,APROVAR,0.0230000000,60,0.1000000000
P000307,0.0572415795,7,APROVAR,0.0250000000,60,0.1500000000
P000308,0.0627560499,6,APROVAR,0.0260000000,48,0.2000000000
P000309,0.1504264097,3,NEGAR,,,
P000310,0.0432505580,8,APROVAR,0.0240000000,60,0.1500000000
P000311,0.0937702887,5,NEGAR,,,
P000312,0.0391008412,8,APROVAR,0.0240000000,60,0.1500000000
P000313,0.0572035406,7,APROVAR,0.0250000000,60,0.1500000000
P000314,0.3382086584,2,NEGAR,,,
P000315,0.0733662615,6,APROVAR,0.0260000000,48,0.2000000000
P000316,0.3911964036,1,NEGAR,,,
P000317,0.0784014004,5,NEGAR,,,
P000318,0.0784022951,5,NEGAR,,,
P000319,0.0585947304,7,APROVAR,0.0250000000,60,0.1500000000
P000320,0.0721736862,6,APROVAR,0.0260000000,48,0.2000000000
P000321,0.2318544417,2,NEGAR,,,
P000322,0.3021877211,2,NEGAR,,,
P000323,0.1885150743,3,NEGAR,,,
P000324,0.0303028635,9,APROVAR,0.0230000000,60,0.1000000000
P000325,0.2770346109,2,NEGAR,,,
P000326,0.0515750897,7,APROVAR,0.0250000000,60,0.1500000000
P000327,0.2819444434,2,NEGAR,,,
P000328,0.2966025096,2,NEGAR,,,
P000329,0.2480972710,2,NEGAR,,,
P000330,0.1208971204,4,NEGAR,,,
P000331,0.3445656067,2,NEGAR,,,
P000332,0.0765411961,5,NEGAR,,,
P000333,0.0713206837,6,APROVAR,0.0260000000,48,0.2000000000
P000334,0.0363797910,8,APROVAR,0.0240000000,60,0.1500000000
P000335,0.3349806206,2,NEGAR,,,
P000336,0.2007433713,3,NEGAR,,,
P000337,0.0723219522,6,APROVAR,0.0260000000,48,0.2000000000
P000338,0.0386417981,8,APROVAR,0.0240000000,60,0.1500000000
P000339,0.0350996991,8,APROVAR,0.0240000000,60,0.1500000000
P000340,0.0752489775,5,NEGAR,,,
P000341,0.1451793328,4,NEGAR,,,
P000342,0.1148592051,4,NEGAR,,,
P000343,0.0538215721,7,APROVAR,0.0250000000,60,0.1500000000
P000344,0.0383122849,8,APROVAR,0.0240000000,60,0.1500000000
P000345,0.0252948564,9,APROVAR,0.0230000000,60,0.1000000000
P000346,0.1128526448,4,NEGAR,,,
P000347,0.0464306496,8,APROVAR,0.0240000000,60,0.1500000000
P000348,0.0627856483,6,APROVAR,0.0260000000,48,0.2000000000
P000349,0.0489784021,8,APROVAR,0.0240000000,60,0.1500000000
P000350,0.0538197922,7,APROVAR,0.0250000000,60,0.1500000000
P000351,0.2455480894,2,NEGAR,,,
P000352,0.4937190059,1,NEGAR,,,
P000353,0.1995089576,3,NEGAR,,,
P000354,0.4112249640,1,NEGAR,,,
P000355,0.0564944727,7,APROVAR,0.0250000000,60,0.1500000000
P000356,0.5256082248,1,NEGAR,,,
P000357,0.0433595827,8,APROVAR,0.0240000000,60,0.1500000000
P000358,0.0382975418,8,APROVAR,0.0240000000,60,0.1500000000
P000359,0.0523550217,7,APROVAR,0.0250000000,60,0.1500000000
P000360,0.0659228899,6,APROVAR,0.0260000000,48,0.2000000000
P000361,0.0310662222,9,APROVAR,0.0230000000,60,0.1000000000
P000362,0.0767817716,5,NEGAR,,,
P000363,0.1690028833,3,NEGAR,,,
P000364,0.2088265717,3,NEGAR,,,
P000365,0.0468778884,8,APROVAR,0.0240000000,60,0.1500000000
P000366,0.0731287273,6,APROVAR,0.0260000000,48,0.2000000000
P000367,0.1537255002,3,NEGAR,,,
P000368,0.0439537171,8,APROVAR,0.0240000000,60,0.1500000000
P000369,0.0531072348,7,APROVAR,0.0250000000,60,0.1500000000
P000370,0.2880763783,2,NEGAR,,,
P000371,0.4576438473,1,NEGAR,,,
P000372,0.0305259089,9,APROVAR,0.0230000000,60,0.1000000000
P000373,0.1846874289,3,NEGAR,,,
P000374,0.0429249867,8,APROVAR,0.0240000000,60,0.1500000000
P000375,0.1769807062,3,NEGAR,,,
P000376,0.0656495722,6,APROVAR,0.0260000000,48,0.2000000000
P000377,0.0320033961,9,APROVAR,0.0230000000,60,0.1000000000
P000378,0.1910920866,3,NEGAR,,,
P000379,0.0551149212,7,APROVAR,0.0250000000,60,0.1500000000
P000380,0.2300176399,2,NEGAR,,,
P000381,0.1915576084,3,NEGAR,,,
P000382,0.0271889920,9,APROVAR,0.0230000000,60,0.1000000000
P000383,0.2448505803,2,NEGAR,,,
P000384,0.0750430473,5,NEGAR,,,
P000385,0.0284433082,9,APROVAR,0.0230000000,60,0.1000000000
P000386,0.1237424075,4,NEGAR,,,
P000387,0.1924121250,3,NEGAR,,,
P000388,0.1702841923,3,NEGAR,,,
P000389,0.3949841779,1,NEGAR,,,
P000390,0.0255989343,9,APROVAR,0.0230000000,60,0.1000000000
P000391,0.0380931650,8,APROVAR,0.0240000000,60,0.1500000000
P000392,0.0790145219,5,NEGAR,,,
P000393,0.0635891565,6,APROVAR,0.0260000000,48,0.2000000000
P000394,0.1183985172,4,NEGAR,,,
P000395,0.1345722581,4,NEGAR,,,
P000396,0.3454646287,2,NEGAR,,,
P000397,0.0613769783,6,APROVAR,0.0260000000,48,0.2000000000
P000398,0.0443947190,8,APROVAR,0.0240000000,60,0.1500000000
P000399,0.2246460069,2,NEGAR,,,
P000400,0.3090695387,2,NEGAR,,,
P000401,0.0619747506,6,APROVAR,0.0260000000,48,0.2000000000
P000402,0.0298563566,9,APROVAR,0.0230000000,60,0.1000000000
P000403,0.0373688436,8,APROVAR,0.0240000000,60,0.1500000000
P000404,0.3428887629,2,NEGAR,,,
P000405,0.0411648065,8,APROVAR,0.0240000000,60,0.1500000000
P000406,0.1052672084,4,NEGAR,,,
P000407,0.3226589223,2,NEGAR,,,
P000408,0.0373212961,8,APROVAR,0.0240000000,60,0.1500000000
P000409,0.0346840157,9,APROVAR,0.0230000000,60,0.1000000000
P000410,0.0279433138,9,APROVAR,0.0230000000,60,0.1000000000
P000411,0.0594591080,7,APROVAR,0.0250000000,60,0.1500000000
P000412,0.3020645556,2,NEGAR,,,
P000413,0.3492291021,2,NEGAR,,,
P000414,0.0799523968,5,NEGAR,,,
P000415,0.1361863449,4,NEGAR,,,
P000416,0.1992753626,3,NEGAR,,,
P000417,0.0153040020,10,APROVAR,0.0225000000,60,0.1000000000
P000418,0.1860047250,3,NEGAR,,,
P000419,0.2609565790,2,NEGAR,,,
P000420,0.0434585153,8,APROVAR,0.0240000000,60,0.1500000000
P000421,0.0566138379,7,APROVAR,0.0250000000,60,0.1500000000
P000422,0.0539580964,7,APROVAR,0.0250000000,60,0.1500000000
P000423,0.2357274075,2,NEGAR,,,
P000424,0.1694323349,3,NEGAR,,,
P000425,0.2976128015,2,NEGAR,,,
P000426,0.0200137469,9,APROVAR,0.0230000000,60,0.1000000000
P000427,0.5523152483,1,NEGAR,,,
P000428,0.3154336116,2,NEGAR,,,
P000429,0.0913555339,5,NEGAR,,,
P000430,0.4236020183,1,NEGAR,,,
P000431,0.0940636590,5,NEGAR,,,
P000432,0.0850195227,5,NEGAR,,,
P000433,0.1371193602,4,NEGAR,,,
P000434,0.0725963447,6,APROVAR,0.0260000000,48,0.2000000000
P000435,0.1434024412,4,NEGAR,,,
P000436,0.1972804651,3,NEGAR,,,
P000437,0.4389357491,1,NEGAR,,,
P000438,0.0172152469,10,APROVAR,0.0225000000,60,0.1000000000
P000439,0.0409705242,8,APROVAR,0.0240000000,60,0.1500000000
P000440,0.0580608451,7,APROVAR,0.0250000000,60,0.1500000000
P000441,0.2383017339,2,NEGAR,,,
P000442,0.1763527082,3,NEGAR,,,
P000443,0.0798234696,5,NEGAR,,,
P000444,0.2462316516,2,NEGAR,,,
P000445,0.1619588804,3,NEGAR,,,
P000446,0.1200976577,4,NEGAR,,,
P000447,0.5388457029,1,NEGAR,,,
P000448,0.2290159144,2,NEGAR,,,
P000449,0.1616981990,3,NEGAR,,,
P000450,0.0409608697,8,APROVAR,0.0240000000,60,0.1500000000
P000451,0.1789519115,3,NEGAR,,,
P000452,0.2722205233,2,NEGAR,,,
P000453,0.2844360822,2,NEGAR,,,
P000454,0.0641745058,6,APROVAR,0.0260000000,48,0.2000000000
P000455,0.0324182126,9,APROVAR,0.0230000000,60,0.1000000000
P000456,0.4136638174,1,NEGAR,,,
P000457,0.2403172009,2,NEGAR,,,
P000458,0.2379468324,2,NEGAR,,,
P000459,0.0388484032,8,APROVAR,0.0240000000,60,0.1500000000
P000460,0.0943503994,5,NEGAR,,,
P000461,0.0906081631,5,NEGAR,,,
P000462,0.0366270890,8,APROVAR,0.0240000000,60,0.1500000000
P000463,0.0311178333,9,APROVAR,0.0230000000,60,0.1000000000
P000464,0.0429143307,8,APROVAR,0.0240000000,60,0.1500000000
P000465,0.3821662819,1,NEGAR,,,
P000466,0.1334088673,4,NEGAR,,,
P000467,0.1700862541,3,NEGAR,,,
P000468,0.0352976743,8,APROVAR,0.0240000000,60,0.1500000000
P000469,0.0624150123,6,APROVAR,0.0260000000,48,0.2000000000
P000470,0.4439482699,1,NEGAR,,,
P000471,0.0628888290,6,APROVAR,0.0260000000,48,0.2000000000
P000472,0.0661083995,6,APROVAR,0.0260000000,48,0.2000000000
P000473,0.1253923873,4,NEGAR,,,
P000474,0.0521161596,7,APROVAR,0.0250000000,60,0.1500000000
P000475,0.1928221949,3,NEGAR,,,
P000476,0.0194404218,10,APROVAR,0.0225000000,60,0.1000000000
P000477,0.1066058327,4,NEGAR,,,
P000478,0.3092775339,2,NEGAR,,,
P000479,0.2202174499,2,NEGAR,,,
P000480,0.0527637930,7,APROVAR,0.0250000000,60,0.1500000000
P000481,0.1718116979,3,NEGAR,,,
P000482,0.0938496483,5,NEGAR,,,
P000483,0.0499798036,8,APROVAR,0.0240000000,60,0.1500000000
P000484,0.0296625202,9,APROVAR,0.0230000000,60,0.1000000000
P000485,0.2171958305,3,NEGAR,,,
P000486,0.1586334773,3,NEGAR,,,
P000487,0.1502860567,3,NEGAR,,,
P000488,0.1898225857,3,NEGAR,,,
P000489,0.1031558827,4,NEGAR,,,
P000490,0.3627256348,1,NEGAR,,,
P000491,0.0972371348,5,NEGAR,,,
P000492,0.1706154376,3,NEGAR,,,
P000493,0.2530906573,2,NEGAR,,,
P000494,0.3369774059,2,NEGAR,,,
P000495,0.1111197342,4,NEGAR,,,
P000496,0.3419692934,2,NEGAR,,,
P000497,0.0540023256,7,APROVAR,0.0250000000,60,0.1500000000
P000498,0.0821287764,5,NEGAR,,,
P000499,0.1430808635,4,NEGAR,,,
P000500,0.1770305297,3,NEGAR,,,
P000501,0.0830813630,5,NEGAR,,,
P000502,0.0503463527,7,APROVAR,0.0250000000,60,0.1500000000
P000503,0.0293350612,9,APROVAR,0.0230000000,60,0.1000000000
P000504,0.2673256312,2,NEGAR,,,
P000505,0.1555731471,3,NEGAR,,,
P000506,0.1112313135,4,NEGAR,,,
P000507,0.0402773459,8,APROVAR,0.0240000000,60,0.1500000000
