id_contrato,pd
T000371,0.1420381859
T000372,0.0402363901
T000373,0.0537337299
T000374,0.0284192202
T000375,0.0689732568
T000376,0.0524322066
T000377,0.0400048778
T000378,0.0941408987
T000379,0.0265642579
T000380,0.0454303491
T000381,0.0636878125
T000382,0.0239945303
T000383,0.0483244685
T000384,0.1995167059
T000385,0.0513604622
T000386,0.0404290342
T000387,0.1816343269
T000388,0.0477078281
T000389,0.0463951610
T000390,0.0914843181
T000391,0.1435275571
T000392,0.1007849640
T000393,0.0474197725
T000394,0.0389154282
T000395,0.0505871857
T000396,0.0680494506
T000397,0.0273934200
T000398,0.1014411472
T000399,0.1440052234
T000400,0.0286431551
T000401,0.0593556319
T000402,0.0935372431
T000403,0.1416804433
T000404,0.0218110452
T000405,0.1328551240
T000406,0.0575872684
T000407,0.0386650136
T000408,0.0338593699
T000409,0.0557534743
T000410,0.1130314533
T000411,0.0328843159
T000412,0.0773282013
T000413,0.0351146404
T000414,0.0275771202
T000415,0.0397707876
T000416,0.1911851287
T000417,0.0759964815
T000418,0.0291442407
T000419,0.0322515073
T000420,0.1631383894
T000421,0.0839576390
T000422,0.0541873894
T000423,0.2237265786
T000424,0.1163573488
T000425,0.0320917533
T000426,0.1244415297
T000427,0.0201112099
T000428,0.0424510273
T000429,0.1114436503
T000430,0.0558976554
T000431,0.0347042893
T000432,0.1248139444
T000433,0.0674731224
T000434,0.0374483882
T000435,0.1094533721
T000436,0.1044826707
T000437,0.0481153804
T000438,0.0278084167
T000439,0.0357778770
T000440,0.0376316361
T000441,0.0320669743
T000442,0.0341385370
T000443,0.1933345283
T000444,0.0512167807
T000445,0.0612913618
T000446,0.0310718518
T000447,0.1252549711
T000448,0.0406531419
T000449,0.0310014166
T000450,0.0337058458
T000451,0.0583074102
T000452,0.0647510587
T000453,0.0546884655
T000454,0.0681180259
T000455,0.1909864111
T000456,0.0331535744
T000457,0.0291762334
T000458,0.0284809258
T000459,0.0529028118
T000460,0.0206216467
T000461,0.0987276970
T000462,0.0325342253
T000463,0.0510122657
T000464,0.0329215449
T000465,0.1077668099
T000466,0.0496005491
T000467,0.0363858862
T000468,0.0341931248
T000469,0.0339457344
T000470,0.0296060833
T000471,0.0984132377
T000472,0.0591928825
T000473,0.0324683205
T000474,0.0798511087
T000475,0.0382667054
T000476,0.0798217879
T000477,0.0423792394
T000478,0.0461597521
T000479,0.2546257806
T000480,0.0448617077
T000481,0.0374623999
T000482,0.0334062880
T000483,0.0343059205
T000484,0.0275680886
T000485,0.1379741283
T000486,0.0341092182
T000487,0.0350203612
T000488,0.0251975846
T000489,0.0411569041
T000490,0.2604411595
T000491,0.1213563018
T000492,0.1229080176
T000493,0.0281387195
T000494,0.0366408526
T000495,0.1748871036
T000496,0.0797182319
T000497,0.0549658871
T000498,0.0535295983
T000499,0.0266183913
T000500,0.0335147478
T000501,0.0414636000
T000502,0.0305994755
T000503,0.0511074177
T000504,0.0663848208
T000505,0.0502349419
T000506,0.0351048916
T000507,0.2204209701
T000508,0.2071686892
T000509,0.3394895789
T000510,0.0410719537
T000511,0.0316938739
T000512,0.0526258325
T000513,0.1700760928
T000514,0.0643340601
T000515,0.1133560642
T000516,0.0347452394
T000517,0.0267781205
T000518,0.0932257790
T000519,0.1264426810
T000520,0.0287627097
T000521,0.1210816216
T000522,0.0374649865
T000523,0.0741758448
T000524,0.0281895517
T000525,0.0330199595
T000526,0.0509436942
T000527,0.1014794394
T000528,0.0699976877
T000529,0.1712042545
T000530,0.1860634756
T000531,0.0513404930
T000532,0.1358673023
T000533,0.0558525974
T000534,0.0554342365
T000535,0.0824213391
T000536,0.0384517927
T000537,0.0486876420
T000538,0.1042435625
T000539,0.0408134200
T000540,0.1011772456
T000541,0.0731611877
T000542,0.0534018506
T000543,0.0459734434
T000544,0.0437483911
T000545,0.0595824871
T000546,0.0323869719
T000547,0.0585665220
T000548,0.0238562754
T000549,0.0494833238
T000550,0.2675686828
T000551,0.0390177487
T000552,0.0178577209
T000553,0.0835010396
T000554,0.0687712233
T000555,0.0363497741
T000556,0.0698552416
T000557,0.0913040290
T000558,0.0354643417
T000559,0.0815975827
T000560,0.1893242850
T000561,0.3258235002
T000562,0.1199470237
T000563,0.1950656223
T000564,0.0240172918
T000565,0.0264744801
T000566,0.0948573522
T000567,0.0422172740
T000568,0.0417223184
T000569,0.1011336903
T000570,0.0548954880
T000571,0.0434811675
T000572,0.0555552007
T000573,0.0445368490
T000574,0.0842176099
T000575,0.0274788309
T000576,0.0342662693
T000577,0.1786220682
T000578,0.1037715265
T000579,0.0286659062
T000580,0.0183222483
T000581,0.1739590086
T000582,0.3287604989
T000583,0.0200079889
T000584,0.0761711140
T000585,0.0394181247
T000586,0.0404016326
T000587,0.0294821946
T000588,0.0403574048
T000589,0.0832545344
T000590,0.0242917522
T000591,0.0462638074
T000592,0.0577848629
T000593,0.0676416068
T000594,0.0435448109
T000595,0.0894691163
T000596,0.1885286789
T000597,0.0252840771
T000598,0.2259837340
T000599,0.0513373299
T000600,0.0456326608
T000601,0.0848303860
T000602,0.0363027568
T000603,0.0295004257
T000604,0.0277063049
T000605,0.0486926546
T000606,0.0465204672
T000607,0.0498091568
T000608,0.0529387825
T000609,0.1646867390
T000610,0.3183051784
T000611,0.0951329643
T000612,0.2071784268
T000613,0.0479382524
T000614,0.0249973865
T000615,0.0804990563
T000616,0.2202153123
T000617,0.0269450112
T000618,0.1113679421
T000619,0.0490783662
T000620,0.1211783465
T000621,0.1368179146
T000622,0.4655361817
T000623,0.0367995352
T000624,0.1118054426
T000625,0.1068791609
T000626,0.0560543253
T000627,0.0468859289
T000628,0.2075566759
T000629,0.0980772032
T000630,0.0316914463
T000631,0.0364316187
T000632,0.0429493686
T000633,0.1840266431
T000634,0.0354038524
T000635,0.0274958619
T000636,0.0538283596
T000637,0.0850718914
T000638,0.0275042721
T000639,0.1022496864
T000640,0.0169152313
T000641,0.0457942497
T000642,0.1547929882
T000643,0.0605060337
T000644,0.0640961174
T000645,0.0357251986
T000646,0.0418083904
T000647,0.0397899801
T000648,0.0568829925
T000649,0.0598613409
T000650,0.0307234964
T000651,0.3487861126
T000652,0.0484121810
T000653,0.0628873998
T000654,0.0288886956
T000655,0.0351679518
T000656,0.0401677805
T000657,0.2510043632
T000658,0.0276773474
T000659,0.0762040281
T000660,0.1105302283
T000661,0.0389468584
T000662,0.0940182991
T000663,0.0864814068
T000664,0.0309374346
T000665,0.1173156170
T000666,0.0407573413
T000667,0.0440217531
T000668,0.0324944840
T000669,0.0412317955
T000670,0.0472218895
T000671,0.1199563443
T000672,0.0424791742
T000673,0.0274508877
T000674,0.0908784348
T000675,0.0437660201
T000676,0.0346129848
T000677,0.1171874369
T000678,0.0246258135
T000679,0.1692847921
T000680,0.0300766711
T000681,0.0260023404
T000682,0.0383349553
T000683,0.0531664378
T000684,0.0432218977
T000685,0.0717028463
T000686,0.0447172573
T000687,0.0368332359
T000688,0.3004116765
T000689,0.0270810910
T000690,0.0380896922
T000691,0.0531615238
T000692,0.0442319137
T000693,0.0234317008
T000694,0.0221804619
T000695,0.3943898409
T000696,0.0262989844
T000697,0.0203346349
T000698,0.0664697339
T000699,0.0274351719
T000700,0.1223071075
T000701,0.0589686093
T000702,0.0543020908
T000703,0.0817869972
T000704,0.0262245464
T000705,0.0234608195
T000706,0.3944181643
T000707,0.0310669603
T000708,0.2512484062
T000709,0.0518745574
T000710,0.0642440687
T000711,0.0795359222
T000712,0.0415245505
T000713,0.0324024323
T000714,0.0254727094
T000715,0.0315228148
T000716,0.0197696740
T000717,0.0772061597
T000718,0.1190156254
T000719,0.0741233627
T000720,0.0463854829
T000721,0.0720762878
T000722,0.0679064031
T000723,0.0551803365
T000724,0.1198213926
T000725,0.0535829629
T000726,0.0676433693
T000727,0.0350357238
T000728,0.0639516025
T000729,0.0942650393
T000730,0.0288810163
T000731,0.0417670322
T000732,0.0273631766
T000733,0.0294547506
T000734,0.1735998008
T000735,0.2830518436
T000736,0.1652103394
T000737,0.1950029380
T000738,0.0472805352
T000739,0.0300694409
T000740,0.1088403881
T000741,0.0412322746
T000742,0.0396898923
T000743,0.0978817768
T000744,0.0946886076
T000745,0.0474799145
T000746,0.0443651326
T000747,0.0558070634
T000748,0.0860172468
T000749,0.0356962262
T000750,0.0750765450
T000751,0.0418220165
T000752,0.3285738109
T000753,0.0513381011
T000754,0.0642038957
T000755,0.0264786416
T000756,0.0443098978
T000757,0.0508296057
T000758,0.0293595923
T000759,0.0426123489
T000760,0.0437493522
T000761,0.0455345080
T000762,0.0322164189
T000763,0.0250961661
T000764,0.1543576668
T000765,0.0371286034
T000766,0.2812477802
T000767,0.2353804530
T000768,0.1631646183
T000769,0.1989288421
T000770,0.1571739446
T000771,0.1163628348
T000772,0.1058183283
T000773,0.0379107850
T000774,0.0323896190
T000775,0.0310427145
T000776,0.0629268065
T000777,0.0486838883
T000778,0.0729014417
T000779,0.0443787380
T000780,0.0395634805
T000781,0.0468092848
T000782,0.0195899275
T000783,0.0495551710
T000784,0.0463813942
T000785,0.0333444231
T000786,0.0347173239
T000787,0.2709223153
T000788,0.0510831736
T000789,0.0306181453
T000790,0.0431086316
T000791,0.0353238708
T000792,0.0437556976
T000793,0.0571548918
T000794,0.1874265222
T000795,0.1377599666
T000796,0.0398911853
T000797,0.0213414685
T000798,0.0599857831
T000799,0.0683061616
T000800,0.0777144166
T000801,0.0284245871
T000802,0.0632333654
T000803,0.0319381048
T000804,0.0391412476
T000805,0.0497176533
T000806,0.0804705651
T000807,0.1200458858
T000808,0.0540020643
T000809,0.0277094215
T000810,0.0543402549
T000811,0.2688995448
T000812,0.0947217114
T000813,0.2600275945
T000814,0.0498824203
T000815,0.0318549088
T000816,0.1187694989
T000817,0.0660392028
T000818,0.0487562677
T000819,0.1171700721
T000820,0.1162151754
T000821,0.1444745811
T000822,0.0277722037
T000823,0.0538980812
T000824,0.0360772084
T000825,0.0458191837
T000826,0.0579164858
T000827,0.0379405739
T000828,0.0413555104
T000829,0.0620811154
T000830,0.0704875415
T000831,0.0401031304
T000832,0.0276547170
T000833,0.0457529268
T000834,0.0673258521
T000835,0.0299524558
T000836,0.0212780328
T000837,0.0642050153
T000838,0.0362129043
T000839,0.0386104463
T000840,0.0430318562
T000841,0.0388607500
T000842,0.0590203881
T000843,0.0647535334
T000844,0.1212242453
T000845,0.0273407483
T000846,0.2529610719
T000847,0.0326922266
T000848,0.0703277013
T000849,0.0448405245
T000850,0.0796214594
T000851,0.0509509906
T000852,0.0213696442
T000853,0.0509120594
T000854,0.0464710355
T000855,0.1828862345
T000856,0.0368160841
T000857,0.0180282604
T000858,0.1435487582
T000859,0.4292230481
T000860,0.0309278129
T000861,0.0331402250
T000862,0.0769685811
T000863,0.0822255718
T000864,0.0312450411
T000865,0.0327068700
T000866,0.1595848439
T000867,0.0268717043
T000868,0.0670937653
T000869,0.1508513766
T000870,0.2172962398
T000871,0.0382025226
T000872,0.0484817543
T000873,0.0578644280
T000874,0.2422694136
T000875,0.0533841565
T000876,0.0707371692
T000877,0.0467555965
T000878,0.0505118241
T000879,0.3714723593
T000880,0.0328039951
T000881,0.0418503252
T000882,0.0379449179
T000883,0.3053265303
T000884,0.1807340383
T000885,0.0513931254
T000886,0.0308364871
T000887,0.0434648337
T000888,0.1234888853
T000889,0.0957318385
T000890,0.0361767059
T000891,0.1431665146
T000892,0.0736861402
T000893,0.0593073753
T000894,0.0316265967
T000895,0.0993564002
T000896,0.0726261548
T000897,0.0511318682
T000898,0.0983241437
T000899,0.0633767021
T000900,0.0422953686
T000901,0.0510710097
T000902,0.0247748309
T000903,0.0310671288
T000904,0.0359219372
T000905,0.1569680139
T000906,0.1828108577
T000907,0.0381528254
T000908,0.0558117800
T000909,0.0479918741
T000910,0.0808042565
T000911,0.0511344710
T000912,0.0222060492
T000913,0.0796277352
T000914,0.0356900177
T000915,0.0596103292
T000916,0.0264057747
T000917,0.0320035366
T000918,0.0316029848
T000919,0.2259401229
T000920,0.1977807230
T000921,0.0703887216
T000922,0.0417542415
T000923,0.0415802682
T000924,0.0605783491
T000925,0.0300549114
T000926,0.0607296851
T000927,0.4538368246
T000928,0.0976888400
T000929,0.0408915680
T000930,0.0437018085
T000931,0.0270288297
T000932,0.2462290020
T000933,0.0374030025
T000934,0.0408476278
T000935,0.1437469574
T000936,0.0298951744
T000937,0.0474740046
T000938,0.0449911038
T000939,0.0266071956
T000940,0.0625514680
T000941,0.0306480783
T000942,0.0853937677
T000943,0.0691146655
T000944,0.4468350785
T000945,0.0453421233
T000946,0.0553894621
T000947,0.1323127783
T000948,0.0296955846
T000949,0.0302228506
T000950,0.0285740510
T000951,0.0362588345
T000952,0.0276587279
T000953,0.0317025191
T000954,0.2792090371
T000955,0.0557638653
T000956,0.0403423575
T000957,0.1093824772
T000958,0.1083083700
T000959,0.0498123521
T000960,0.0244222250
T000961,0.1800910476
T000962,0.0257743133
T000963,0.6052921778
T000964,0.0508714396
T000965,0.0431489887
T000966,0.0707705768
T000967,0.0284912018
T000968,0.0785993503
T000969,0.0517576632
T000970,0.0402345027
T000971,0.0332158411
T000972,0.0447034720
T000973,0.0269750769
T000974,0.1069143488
T000975,0.0939999552
T000976,0.0490348756
T000977,0.1349642675
T000978,0.0299511296
T000979,0.0546692590
T000980,0.0993224514
T000981,0.2569218173
T000982,0.0494233109
T000983,0.0633361171
T000984,0.0293052387
T000985,0.0497848945
T000986,0.0201902512
T000987,0.0799835877
T000988,0.0368238767
T000989,0.0782530916
T000990,0.0312168126
T000991,0.2583560743
T000992,0.0370111134
T000993,0.0296252221
T000994,0.1512354712
T000995,0.0554163224
T000996,0.0405355214
T000997,0.0924315384
T000998,0.0713245966
T000999,0.0392321835
T001000,0.0741959826
T001001,0.0632595722
T001002,0.2364692052
T001003,0.1383526799
T001004,0.0910697568
T001005,0.0316661335
T001006,0.0664498808
T001007,0.0616612414
T001008,0.0317055749
T001009,0.0549528365
T001010,0.0383803506
T001011,0.0482183431
T001012,0.0420390391
T001013,0.0488907743
T001014,0.0423866097
T001015,0.0523883050
T001016,0.2419296781
T001017,0.0432699203
T001018,0.0670608894
T001019,0.0862951799
T001020,0.0622255811
T001021,0.3154699124
T001022,0.0807448030
T001023,0.1260217435
T001024,0.0474847571
T001025,0.0596431906
T001026,0.0409104458
T001027,0.1172879638
T001028,0.3003348188
T001029,0.0578989707
T001030,0.0544932504
T001031,0.0705587813
T001032,0.0305291445
T001033,0.1813230778
T001034,0.1216329910
T001035,0.2106389606
T001036,0.0373884284
T001037,0.0237435245
T001038,0.0207708445
T001039,0.0381240388
T001040,0.0481994448
T001041,0.0473673046
T001042,0.2147233548
T001043,0.3189342637
T001044,0.0853431765
T001045,0.0223834968
T001046,0.0322467794
T001047,0.1008648672
T001048,0.0761338959
T001049,0.0402028261
T001050,0.0648420251
T001051,0.0316551602
T001052,0.0769624208
T001053,0.0519460463
T001054,0.0250331660
T001055,0.0308842678
T001056,0.0300187987
T001057,0.0556541036
T001058,0.0494994428
T001059,0.0291080680
T001060,0.3213108586
T001061,0.1802358368
T001062,0.0556879809
T001063,0.0405219260
T001064,0.1742061431
T001065,0.0977905538
T001066,0.1827588862
T001067,0.0803819472
T001068,0.0522704875
T001069,0.0978172814
T001070,0.3054453816
T001071,0.0595726864
T001072,0.2985589966
T001073,0.0440764691
T001074,0.0196845011
T001075,0.0604345282
T001076,0.2128779574
T001077,0.0775823848
T001078,0.0316018834
T001079,0.2451394463
T001080,0.0385158952
T001081,0.1265750504
T001082,0.0679358504
T001083,0.1026142924
T001084,0.0462441791
T001085,0.0223102553
T001086,0.0656574911
T001087,0.0669256596
T001088,0.0443696326
T001089,0.0656746774
T001090,0.0326249436
T001091,0.0554036075
T001092,0.0828295742
T001093,0.0265498521
T001094,0.0516597151
T001095,0.0262402869
T001096,0.0273428868
T001097,0.0614690598
T001098,0.2339086829
T001099,0.0459981380
T001100,0.0471965273
T001101,0.2937979197
T001102,0.1319155523
T001103,0.0605798196
T001104,0.0257397675
T001105,0.1395928074
T001106,0.0573067716
T001107,0.0289926619
T001108,0.0945161253
T001109,0.0753790577
T001110,0.0321662216
T001111,0.0320643761
T001112,0.0399863795
T001113,0.0947732369
T001114,0.0462971868
T001115,0.0413630439
T001116,0.1981353945
T001117,0.0345725663
T001118,0.0606902929
T001119,0.0251153865
T001120,0.0443366286
T001121,0.0539475401
T001122,0.0326045539
T001123,0.0333052542
T001124,0.0281395972
T001125,0.0715174001
T001126,0.0402290491
T001127,0.1230650912
T001128,0.0415717958
T001129,0.0387428090
T001130,0.0210690386
T001131,0.0539935467
T001132,0.1059031804
T001133,0.0693081326
T001134,0.0416676302
T001135,0.0264520525
T001136,0.1729471577
T001137,0.0472323690
T001138,0.0391321122
T001139,0.1128702757
T001140,0.0454599853
T001141,0.0249015331
T001142,0.0364797674
T001143,0.0791964314
T001144,0.0379252499
T001145,0.0501259049
T001146,0.0432778147
T001147,0.0463801627
T001148,0.5449672058
T001149,0.0612185520
T001150,0.0966384324
T001151,0.0398360156
T001152,0.0328060086
T001153,0.0656525537
T001154,0.0894661329
T001155,0.0304655892
T001156,0.0209353243
T001157,0.0475227152
T001158,0.0672541882
T001159,0.2808161055
T001160,0.0476262529
T001161,0.1171887842
T001162,0.0633782692
T001163,0.0679656690
T001164,0.0440414071
T001165,0.0727760041
T001166,0.0585551398
T001167,0.2303406345
T001168,0.0365952704
T001169,0.1381504548
T001170,0.0413926592
T001171,0.1392237467
T001172,0.1795725566
T001173,0.0649682387
T001174,0.0535688986
T001175,0.0913659788
T001176,0.0905216647
T001177,0.0253631297
T001178,0.0624764050
T001179,0.0417950628
T001180,0.0448329234
T001181,0.0376322395
T001182,0.0642594706
T001183,0.0590576738
T001184,0.0269834097
T001185,0.0616453756
T001186,0.0227950822
T001187,0.0327936814
T001188,0.0406198470
T001189,0.0361116663
T001190,0.0342047395
T001191,0.0608547790
T001192,0.0544330845
T001193,0.5256734647
T001194,0.0501649074
T001195,0.0445495467
T001196,0.0387488489
T001197,0.0323316851
T001198,0.0349602450
T001199,0.1051649603
T001200,0.0326311804
T001201,0.0363864226
T001202,0.0335988473
T001203,0.0446099064
T001204,0.0652386396
T001205,0.0301664967
T001206,0.0373657799
T001207,0.5715634210
T001208,0.0389632548
T001209,0.0367652286
T001210,0.0459709700
T001211,0.0555412683
T001212,0.0692362079
T001213,0.0907745770
T001214,0.0288661961
T001215,0.0716967456
T001216,0.1024603128
T001217,0.3018383679
T001218,0.0570289243
T001219,0.0285077540
T001220,0.0399540733
T001221,0.0550157618
T001222,0.0342241384
T001223,0.1811097554
T001224,0.0215995194
T001225,0.0665852349
T001226,0.0366139218
T001227,0.0243209532
T001228,0.0798673734
T001229,0.0590090781
T001230,0.0970563808
T001231,0.0452475418
T001232,0.0365412077
T001233,0.0768254543
T001234,0.0360345348
T001235,0.1383250383
T001236,0.0504121230
T001237,0.0483622855
T001238,0.0632325198
T001239,0.0155182857
T001240,0.0661598857
T001241,0.1026478758
T001242,0.1573378562
T001243,0.0897625146
T001244,0.1019033438
T001245,0.0331032362
T001246,0.0241663159
T001247,0.0290716506
T001248,0.0768160900
T001249,0.0715971870
T001250,0.0399144448
T001251,0.0519953293
T001252,0.1563376084
T001253,0.0571323870
T001254,0.1121228592
T001255,0.0470890197
T001256,0.1281565991
T001257,0.0333835985
T001258,0.0321755348
T001259,0.0807698361
T001260,0.0297892290
T001261,0.0319226669
T001262,0.1561761242
T001263,0.0414051018
T001264,0.0293798359
T001265,0.0429427568
T001266,0.3162619116
T001267,0.0437711429
T001268,0.0520074673
T001269,0.0828116832
T001270,0.0391147778
T001271,0.1025622315
